Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
Hindustan Aeronautics Ltd.,Capital Goods,HAL,0.05401,3837.7,2619.27,1290.46,732.14,31.749,66.374,80.922
Amber Enterprises India Ltd.,Consumer Durables,AMBER,0.05403,3053.35,1790.95,3132.05,939.23,41.345,-2.577,69.239
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,0.0542,299.05,289.81,475.37,209.41,3.09,-58.96,29.975
Yes Bank Ltd.,Financial Services,YESBANK,0.05429,17.35,15.05,13.0,334.61,13.256,25.072,-1828.588
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,0.05435,589.65,404.93,496.07,612.96,31.327,15.87,-3.953
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,0.05492,888.85,691.74,834.67,213.04,22.176,6.096,76.032
Tanla Platforms Ltd.,Information Technology,TANLA,0.05498,1040.0,507.73,834.74,36.72,51.18,19.737,96.469
ABB India Ltd.,Capital Goods,ABB,0.05532,4233.35,3315.01,1883.2,1217.02,21.693,55.515,71.252
Mahindra Logistics Ltd.,Services,MAHLOG,0.05535,387.9,353.68,728.88,576.73,8.822,-87.904,-48.68
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,0.05537,1872.6,1489.35,1496.21,371.47,20.466,20.1,80.163
eClerx Services Ltd.,Services,ECLERX,0.05544,1793.4,1339.89,1525.47,688.18,25.288,14.94,61.627
Polycab India Ltd.,Capital Goods,POLYCAB,0.05574,5360.55,2763.51,2396.71,2396.71,48.447,55.29,55.29
Adani Energy Solutions Ltd.,Power,ADANIENSOL,0.05583,816.2,816.2,816.2,816.2,0.0,0.0,0.0
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,0.05599,701.4,550.2,697.67,697.67,21.557,0.532,0.532
BASF India Ltd.,Chemicals,BASF,0.05609,2537.7,2270.09,3368.01,1916.07,10.545,-32.719,24.496
